カード名称,セゾンゴールド・アメリカン・エキスプレス・カード
お支払日,2025/12/04
今回ご請求額,0000240674

利用日,ご利用店名及び商品名,本人・家族区分,支払区分名称,締前入金区分,利用金額,備考
2025/09/26,エヌ・ハ-ベスト,1,1回,,1404,
2025/09/30,ドコモご利用料金,,1回,,7615,
2025/10/01,モバイル保険,,1回,,700,
2025/10/01,Voicy,,1回,,980,
2025/10/02,Voicy,,1回,,990,
2025/10/08,東京ガス 1888-822-1050,1,1回,,5488,
2025/10/13,ANTHROPIC,,1回,,1588,現地通貨額:10.00 USD
,(SAN FRANCISCO),,,,,円換算レート:10/14 158.8000
2025/10/13,ANTHROPIC,,1回,,1598,現地通貨額:10.10 USD
,(SAN FRANCISCO),,,,,円換算レート:10/14 158.2179
2025/10/14,DEEPL* SUB:2756208 CUS,,1回,,1200,
2025/10/14,ANTHROPIC,,1回,,1653,現地通貨額:10.47 USD
,(SAN FRANCISCO),,,,,円換算レート:10/15 157.8797
2025/10/15,ANTHROPIC,,1回,,1594,現地通貨額:10.09 USD
,(SAN FRANCISCO),,,,,円換算レート:10/15 157.9782
2025/10/18,アマゾン JP マーケットプレイス,1,1回,,1570,
2025/10/20,WRAPTAS - PERAICHI INC,,1回,,1078,
2025/10/21,ZOOM.COM 888-799-9666,1,1回,,2484,
2025/10/22,Audible an Amazon Compan,,1回,,1500,
2025/10/23,Netflix(同),,1回,,1190,
2025/10/24,NTT東日本ご利用料金,,1回,,7022,
2025/10/25,Apple iTunes Store,,1回,,150,
2025/10/28,Apple iTunes Store,,1回,,150,
2025/10/28,パルシステム神奈川〔増資等〕,,1回,,1000,
2025/10/28,パルシステム神奈川〔共済掛金〕,,1回,,9360,
2025/10/28,パルシステム神奈川〔電力〕,,1回,,16763,
2025/10/28,パルシステム神奈川〔宅配利用代金〕,,1回,,101927,
2025/10/30,ヨドバシ・ドット・コム,,1回,,3439,
2025/10/31,東急電鉄定期券,,1回,,21130,
2025/10/31,SP GAMUT MUSIC INC.,,1回,,29328,現地通貨額:182.82 USD
,(DULUTH),,,,,円換算レート:10/31 160.4201
2025/11/01,まぐまぐ!,,1回,,880,
2025/11/01,アフラック,,1回,,3120,
2025/11/02,Apple iTunes Store,,1回,,150,
2025/11/03,Apple iTunes Store,,1回,,1680,
2025/11/04,WEBLIO.CO.JP,1,1回,,330,
2025/11/07,アマゾン JP マーケットプレイス,1,1回,,2320,
2025/11/07,アマゾン シーオージェーピー,1,1回,,1436,
2025/11/08,メルカリ -東京都 港区,1,1回,,500,
2025/11/08,OPENAI *CHATGPT SUBSCR,,1回,,3507,現地通貨額:22.00 USD
,(SAN FRANCISCO),,,,,円換算レート:11/08 159.4091
2025/11/10,アマゾン JP マーケットプレイス,1,1回,,3850,
